Representative,Trimmed_Mean,ReportDate,TransactionDate,Ticker,Transaction,Amount,Party,House,Range,Sentiment,Price,Low_End,High_End,Adjusted_Low_End,Adjusted_High_End,Running_Portfolio_Low_End,Running_Portfolio_High_End,Est_Portfolio_Value,Shares_High_End,Shares_Low_End,Normalized_Amount
Alan S. Lowenthal,745.5811378848728,2021-02-10,2021-02-01,BSX,Purchase,1001.0,D,Representatives,1001-15000,,35.95000076,1001.0,15000.0,-1001.0,-15000.0,160797.54,1115000.0,637898.77,-417.2461664226123,-27.844227505935663,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-09-14,2021-08-23,GM,Sale,1001.0,D,Representatives,1001-15000,,47.71921539,1001.0,15000.0,1001.0,15000.0,148216.09,1155000.0,651608.045,314.3387810844725,20.9768746577038,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-03-05,2021-02-22,AZN,Purchase,1001.0,D,Representatives,1001-15000,,47.07944107,1001.0,15000.0,-1001.0,-15000.0,146983.79,1110000.0,628491.895,-318.61040953517846,-21.26193466298091,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-03-05,2021-02-22,GLD,Sale,1001.0,D,Representatives,1001-15000,,169.5099945,1001.0,15000.0,1001.0,15000.0,147022.25,1125000.0,636011.125,88.49035742255303,5.905256518665039,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-03-05,2021-02-22,GLD,Sale,1001.0,D,Representatives,1001-15000,,169.5099945,1001.0,15000.0,1001.0,15000.0,148023.25,1140000.0,644011.625,88.49035742255303,5.905256518665039,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-03-17,2021-02-25,VRSK,Purchase,1001.0,D,Representatives,1001-15000,,161.6077271,1001.0,15000.0,-1001.0,-15000.0,133112.25,1090000.0,611556.125,-92.81734400433876,-6.194010756556207,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-09-14,2021-08-23,BKNG,Purchase,1001.0,D,Representatives,1001-15000,,2137.320068,1001.0,15000.0,-1001.0,-15000.0,147215.09,1140000.0,643607.545,-7.018134637193703,-0.4683435181220597,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2020-11-21,2020-11-09,SH,Sale,1001.0,D,Representatives,1001-15000,,18.63649368,1001.0,15000.0,1001.0,15000.0,160798.19,1100000.0,630399.095,804.8724324199164,53.711820323489086,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2020-11-21,2020-11-09,PSQ,Sale,1001.0,D,Representatives,1001-15000,,15.3800745,1001.0,15000.0,1001.0,15000.0,161799.19,1115000.0,638399.595,975.2878635275792,65.08421009274045,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2020-11-21,2020-11-09,IWN,Purchase,1001.0,D,Representatives,1001-15000,,109.8652344,1001.0,15000.0,-1001.0,-15000.0,160798.19,1100000.0,630399.095,-136.53090608615676,-9.111162466149528,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2020-11-16,2020-11-09,IWN,Purchase,1001.0,D,Representatives,1001-15000,,109.8652344,1001.0,15000.0,-1001.0,-15000.0,176800.19,1165000.0,670900.095,-136.53090608615676,-9.111162466149528,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2020-12-03,2020-11-23,NVS,Sale,1001.0,D,Representatives,1001-15000,,77.21285248,1001.0,15000.0,1001.0,15000.0,160085.49,1100000.0,630042.745,194.26817580512733,12.964162932062164,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2020-12-03,2020-11-23,GM,Purchase,1001.0,D,Representatives,1001-15000,,44.34182739,1001.0,15000.0,-1001.0,-15000.0,159084.49,1085000.0,622042.245,-338.28105161454874,-22.574622177744217,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2020-12-03,2020-11-23,NVS,Sale,1001.0,D,Representatives,1001-15000,,77.21285248,1001.0,15000.0,1001.0,15000.0,145084.49,1050000.0,597542.245,194.26817580512733,12.964162932062164,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-03-17,2021-03-10,ADSK,Purchase,1001.0,D,Representatives,1001-15000,,263.6400146,1001.0,15000.0,-1001.0,-15000.0,132111.25,1075000.0,603555.625,-56.89576380413386,-3.796843971195866,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-11-08,2021-10-21,ICE,Sale,1001.0,D,Representatives,1001-15000,,126.426651,1001.0,15000.0,1001.0,15000.0,164218.09,1220000.0,692109.045,118.6458700072661,7.917634391818225,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-09-14,2021-08-23,BKNG,Purchase,1001.0,D,Representatives,1001-15000,,2137.320068,1001.0,15000.0,-1001.0,-15000.0,162216.09,1190000.0,676108.045,-7.018134637193703,-0.4683435181220597,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2020-11-16,2020-11-09,SH,Sale,1001.0,D,Representatives,1001-15000,,18.63649368,1001.0,15000.0,1001.0,15000.0,161799.19,1115000.0,638399.595,804.8724324199164,53.711820323489086,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2020-11-21,2020-11-10,IWN,Purchase,1001.0,D,Representatives,1001-15000,,112.812973,1001.0,15000.0,-1001.0,-15000.0,175799.19,1150000.0,662899.595,-132.96343143088694,-8.873092990821188,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-09-14,2021-08-23,GM,Sale,1001.0,D,Representatives,1001-15000,,47.71921539,1001.0,15000.0,1001.0,15000.0,148216.09,1155000.0,651608.045,314.3387810844725,20.9768746577038,1.3425768828322575
